"Time (s)","Throttle (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"0","1000","0","0.0004712086542939026","0.0000054777441514002","7.4143545913696","0.11087611556053","0.8220748364794419","0","0","",""
"4.6505588000003","1100","254.99999999999773","0.0058880501815535375","0.00099986926440816","7.3947903823853","0.37071165084839","2.7413349503318516","0.026700046452726462","0.9739797192420537","220.5258403568164","2.1478769607635"
"9.2756076000004","1200","9673.000000000296","0.015370252927928499","0.0027785827653268","7.3496321296692","0.92435361146927","6.793659002030307","2.8145770579353155","41.42947205760799","5.460945858488461","2.2624410385235776"
"13.925889","1300","12263.000000000118","0.024899560700640894","0.0044381480763137","7.2963994026184","1.5891167545319","11.594830538457446","5.6993737049070345","49.154437281368565","4.368824012926705","2.1474708593674268"
"18.550761","1400","15016.999999999707","0.03660752693030546","0.0067421634186026","7.2196967697144","2.5602495765686","18.484225597614984","10.602568173528617","57.36008856598605","3.452703753577676","1.9804739309732793"
"23.176032","1500","16627.000000000164","0.0461717783441583","0.0084003088886173","7.1375288009644","3.5968482685089","25.67260810918121","14.626410923598655","56.97282824321952","3.156740131624737","1.7984841332753432"
"27.8265596","1600","17716.999999999884","0.051630003296904654","0.0096233779724898","7.1062846565247","4.0096372413635","28.493623606531468","17.85444467158399","62.66119366962963","2.89171711843134","1.8119844639580955"
"32.4760962","1700","19505.000000000346","0.06264805013034523","0.011658181276773","7.0017493438721","5.3219711494446","37.263108003729975","23.81252103410593","63.90374370200772","2.6308869203985745","1.681235234701149"
"37.1265538","1800","20810.99999999962","0.07298948782938007","0.01348474450211","6.9085263061523","6.508387966156","44.96336947483379","29.38761146649516","65.359006252731","2.4836822112132335","1.6233100117248247"
"41.7518028","1900","21740.99999999978","0.07950681863592053","0.014719695829005","6.8283394813538","7.4666925430298","50.98511148670039","33.51251101613768","65.7299945786713","2.372451846345822","1.5594124699846956"
"46.3767602","2000","21673.000000000135","0.07951462969510077","0.014707132693596","6.8284742546082","7.4507843208313","50.87748891143497","33.37917971380721","65.60697162533324","2.382162485023853","1.5628646656189327"
